,java_lang_ClassLoading_LoadedClassCount,java_lang_Compilation_TotalCompilationTime,java_lang_MemoryPool_CollectionUsage_committed,java_lang_Memory_HeapMemoryUsage_used,java_lang_OperatingSystem_FreePhysicalMemorySize,java_lang_OperatingSystem_FreeSwapSpaceSize,java_lang_OperatingSystem_ProcessCpuLoad,java_lang_OperatingSystem_SystemCpuLoad,java_lang_Runtime_Uptime,java_lang_Threading_CurrentThreadUserTime,java_lang_Threading_TotalStartedThreadCount,java_nio_BufferPool_MemoryUsed,jvm_memory_bytes_used,scrape_duration_seconds
10,2009.0,4998.0,24802856.0,21448856.0,1147762800.0,2271947800.0,0.0012124237,0.4184455,1758903.0,385416670.0,18.0,40625.0,21060916.0,2.3027537
11,1953.0,4076.0,27262976.0,13121520.0,1028423700.0,1928761300.0,0.0005203468,0.45123646,716402.0,187500000.0,17.0,40976.0,14547912.0,0.0780072
12,1953.0,5505.0,23068672.0,13459688.0,1044824060.0,2037456900.0,0.00052109436,0.46174544,1901400.0,343750000.0,17.0,40976.0,14959032.0,0.0449932
13,2211.0,6314.0,23068672.0,19985872.0,1014579200.0,3030737000.0,0.0005209692,0.35938102,2906402.0,546875000.0,23.0,40976.0,21448384.0,0.0539908
14,2211.0,6396.0,23068672.0,22557200.0,1051365400.0,2746200000.0,0.00052053767,0.38403913,3101403.0,484375000.0,24.0,40976.0,24049392.0,0.060994
15,1953.0,4611.0,25690112.0,19237768.0,1223991300.0,2102304800.0,0.0003908561,0.2601403,1061401.0,515625000.0,17.0,40976.0,20660216.0,0.0499999
16,1953.0,4644.0,25690112.0,26719536.0,1579556900.0,2431078400.0,0.00065035047,0.2874872,1091405.0,234375000.0,17.0,40976.0,28238168.0,0.1156554
17,1953.0,5759.0,23068672.0,16637984.0,1894461400.0,2376269800.0,0.00039042535,0.5240748,2561413.0,765625000.0,17.0,40976.0,18117576.0,0.0710391
18,2211.0,6277.0,23068672.0,16384344.0,929894400.0,2040143900.0,0.0045639505,0.5809271,2801399.0,437500000.0,23.0,40976.0,17811912.0,0.0439988
19,1953.0,5162.0,23068672.0,22807624.0,927309800.0,2643513300.0,0.0003906121,0.46521586,1661402.0,609375000.0,17.0,40976.0,24270928.0,0.045997
20,1953.0,5368.0,23068672.0,17764472.0,593465340.0,1839509500.0,0.00052057253,0.6513232,1826402.0,343750000.0,17.0,40976.0,19181616.0,0.0579967
21,2211.0,6463.0,23068672.0,24691696.0,1008775200.0,2981707800.0,0.000520946,0.42617774,3386402.0,875000000.0,25.0,40976.0,26189912.0,0.0619909
22,2211.0,6486.0,23068672.0,24187232.0,1126862800.0,2883436500.0,0.000520952,0.4177584,3476401.0,578125000.0,25.0,40976.0,25675384.0,0.0630057
23,1953.0,3901.0,27787264.0,10284312.0,1253265400.0,2161520600.0,0.0003904424,0.29217517,596408.0,93750000.0,17.0,40976.0,11768824.0,0.0710083
24,1953.0,4787.0,24641536.0,24556000.0,995172350.0,1575129100.0,0.0002604689,0.3822153,1286400.0,546875000.0,17.0,40976.0,26074544.0,0.0509963
25,1953.0,5757.0,23068672.0,12872472.0,1890897900.0,2392445000.0,0.00052044756,0.43082038,2546402.0,437500000.0,17.0,40976.0,14361320.0,0.0670171
26,2211.0,6486.0,23068672.0,27992928.0,1181638700.0,2933731300.0,0.0003908267,0.31427535,3491399.0,609375000.0,25.0,40976.0,29432592.0,0.0470014
27,1892.0,1538.0,29360128.0,28905752.0,1124388900.0,2195472400.0,0.0020856846,0.25757724,116402.0,62500000.0,17.0,40976.0,30680560.0,0.0510042
28,1953.0,5617.0,23068672.0,26762568.0,1942401000.0,1982607400.0,0.00026051764,0.41674024,2231401.0,421875000.0,17.0,40976.0,28174032.0,0.0529947
29,1953.0,5631.0,23068672.0,22399568.0,1966612500.0,2845810700.0,0.00039055664,0.35788223,2306400.0,437500000.0,17.0,40976.0,23840120.0,0.0539994
30,2211.0,6281.0,23068672.0,20202040.0,1074917400.0,2181849000.0,0.0005207244,0.4937595,2816402.0,484375000.0,23.0,40976.0,21670512.0,0.0669972
31,1953.0,3908.0,27787264.0,21687704.0,1144533000.0,1996251100.0,0.00039014377,0.41946557,641405.0,171875000.0,17.0,40976.0,23242312.0,0.0609827
32,1953.0,4029.0,27787264.0,29333512.0,1246269400.0,2178306000.0,0.0005208467,0.28144407,671403.0,109375000.0,17.0,40976.0,30818464.0,0.0640032
33,1953.0,4435.0,27262976.0,28123336.0,880816100.0,1403019300.0,0.00065094465,0.5082438,776402.0,171875000.0,17.0,40976.0,29527288.0,0.0579987
34,2211.0,6043.0,23068672.0,10923992.0,1033396200.0,2416038000.0,0.0010408066,0.39264852,2786406.0,781250000.0,23.0,40976.0,12333704.0,0.0679846
35,2009.0,4998.0,24802856.0,21448856.0,1147762800.0,2271947800.0,0.0012124237,0.4184455,1758903.0,385416670.0,18.0,40625.0,21060916.0,2.3171113
36,1953.0,3901.0,27787264.0,14153264.0,1073803300.0,1920593900.0,0.00052103156,0.42751676,611401.0,453125000.0,17.0,40976.0,15588024.0,0.0569783
37,1953.0,5594.0,23068672.0,19758376.0,2191241200.0,2604101600.0,0.00039102166,0.28320917,2111402.0,687500000.0,17.0,40976.0,21225344.0,0.0610464
38,2211.0,6337.0,23068672.0,15697992.0,1006452740.0,3120332800.0,0.0003907033,0.5268856,2981402.0,546875000.0,23.0,40976.0,17117760.0,0.0633412
39,1953.0,4865.0,24117248.0,22393880.0,1092878300.0,2321481700.0,0.0006510608,0.40666264,1376402.0,281250000.0,17.0,40976.0,23930728.0,0.0540012
40,1953.0,5539.0,23068672.0,12868816.0,950108160.0,1958019100.0,0.0002605518,0.637312,1991401.0,328125000.0,17.0,40976.0,14359448.0,0.0460062
41,1953.0,5631.0,23068672.0,10440656.0,1867022300.0,2620858400.0,0.00039054098,0.32827044,2351404.0,390625000.0,17.0,40976.0,11890120.0,0.0629965
42,1953.0,5498.0,23068672.0,28984600.0,673984500.0,1920725000.0,0.00052044645,0.41879156,1871402.0,343750000.0,17.0,40976.0,30440312.0,0.0599824
43,2211.0,6424.0,23068672.0,25743120.0,1061146600.0,3050303500.0,0.00039104527,0.61675036,3206401.0,609375000.0,24.0,40976.0,27273824.0,0.0549997
44,2211.0,6465.0,23068672.0,32215056.0,1216413700.0,2996707300.0,0.000521147,0.29505417,3416404.0,593750000.0,25.0,40976.0,10648856.0,0.0640026
45,1952.0,3602.0,29360128.0,15222992.0,999039000.0,1848180700.0,0.00039118034,0.36881188,386399.0,421875000.0,17.0,40976.0,16669880.0,0.0490057
46,1953.0,4455.0,26738688.0,15707400.0,1290141700.0,2170691600.0,0.00052137644,0.42640942,836405.0,484375000.0,17.0,40976.0,17154424.0,0.0680198
47,1953.0,5631.0,23068672.0,18581176.0,1297227800.0,2358141000.0,0.0003908593,0.5059539,2291401.0,390625000.0,17.0,40976.0,20096072.0,0.0469957
48,1891.0,1160.0,29360128.0,18860688.0,1034268700.0,2089926700.0,0.0015626831,0.3406356,86405.0,328125000.0,17.0,40976.0,21081824.0,0.0820023
